id,zone
villa - 1,4
villa - 2,4
villa - 3,4
villa - 4,4
villa - 5,4
villa - 6,4
villa - 7,4
Molo - 3,3
Molo - 4,3
Molo - 5,3
Molo - 6,3
Molo - 7,3
Molo - 8,3
Molo - 9,3
Molo - 10,3
Proper - 1,3
Proper - 2,3
Proper - 3,3
Proper - 4,3
Proper - 5,1
Proper - 6,1
Proper - 7,1
Proper - 8,1
Proper - 9,1
Proper - 10,1
Proper - 11,1
Proper - 12,1
Proper - 13,1
Proper - 14,1
Proper - 15,2
Proper - 16,2
Proper - 17,2
Proper - 18,2
Proper - 19,2
Proper - 20,2
Proper - 21,2
Proper - 22,2
mandurriao - 1,6
mandurriao - 2,7
mandurriao - 3,7
mandurriao - 4,7
mandurriao - 5,8
mandurriao - 6,6
mandurriao - 7,6
mandurriao - 8,5
mandurriao - 9,8
mandurriao - 10,8
mandurriao - 11,8
mandurriao - 12,8
jaro - 1,9
jaro - 2,9
jaro - 3,9
jaro - 4,12
jaro - 5,12
jaro - 6,12
jaro - 7,12
jaro - 8,12
jaro - 9,13
jaro - 10,14
jaro - 11,14
jaro - 12,14
jaro - 13,14
jaro - 14,14
jaro - 15,14
jaro - 16,12
jaro - 17,12
jaro - 18,12
jaro - 19,11
jaro - 20,15
jaro - 21,15
jaro - 22,15
jaro - 23,14
jaro - 24,12
jaro - 25,12
lapaz - 1,9
lapaz - 2,9
lapaz - 3,9
lapaz - 4,9
lapaz - 5,9
lapaz - 6,9
lapaz - 7,9
lapaz - 8,9
lapaz - 9,9
lapaz - 10,9
lapuz - 1,9
lapuz - 2,9
lapuz - 3,9
lapuz - 4,9
lapuz - 5,9
lapuz - 6,10
lapuz - 7,10
lapuz - 8,10
