Road Name,From Node,To Node,Closure Type,Baseline Flow,Status,New TSTT (Hours),Change (Minutes),Braess Link?
Osmena St,villa - 1,villa - 6,Two-Way,0.0,Inactive,3307.32,1811.74,No
Yulo Dr,villa - 1,villa - 4,Two-Way,0.0,Inactive,3307.32,1811.74,No
Jocson St,villa - 1,villa - 2,Two-Way,0.0,Inactive,3307.32,1811.74,No
Circumferential Rd 1,villa - 2,villa - 3,Two-Way,629.7,Active,3312.03,2094.63,No
Iloilo Circumferential Rd 1,villa - 2,mandurriao - 8,Two-Way,634.2,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 1268 vol,N/A
Quezon St,villa - 3,villa - 4,Two-Way,0.0,Inactive,3307.32,1811.74,No
Molo - Arevalo Connect (Rev),villa - 3,Molo - 3,Two-Way,2162.3,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 4325 vol,N/A
Molo Blvd (Rev),villa - 5,Molo - 6,Two-Way,0.0,Inactive,3307.32,1811.74,No
Pakiad Rd (Rev),villa - 6,villa - 7,Two-Way,0.0,Inactive,3307.32,1811.74,No
Locsin St,Molo - 3,Molo - 4,Two-Way,0.0,Inactive,3307.32,1811.74,No
New Carpenter Bridge,Molo - 3,mandurriao - 6,Two-Way,564.66,Active,3307.91,1847.24,No
Locsin St,Molo - 4,Molo - 5,Two-Way,0.0,Inactive,3307.32,1811.74,No
M.H Del Pilar,Molo - 4,Molo - 9,Two-Way,0.0,Inactive,3307.32,1811.74,No
Locsin St,Molo - 5,Molo - 6,Two-Way,0.0,Inactive,3307.32,1811.74,No
Timawa St,Molo - 5,Proper - 2,Two-Way,0.0,Inactive,3307.32,1811.74,No
Molo Blvd 2,Molo - 6,Proper - 4,Two-Way,0.0,Inactive,3307.32,1811.74,No
Rotunda,Molo - 7,Molo - 8,One-Way,0.0,Inactive,3307.32,1811.74,No
San Marcos St,Molo - 8,Molo - 3,One-Way,0.0,Inactive,3307.32,1811.74,No
M.H Del Pilar,Molo - 8,Molo - 9,One-Way,0.0,Inactive,3307.32,1811.74,No
M.H Del Pilar,Molo - 9,Molo - 10,One-Way,0.0,Inactive,3307.32,1811.74,No
Molo - Proper Connect,Molo - 10,Proper - 1,One-Way,0.0,Inactive,3307.32,1811.74,No
M.H Del Pilar,Molo - 10,Molo - 7,One-Way,0.0,Inactive,3307.32,1811.74,No
Gen Luna - Molo Connect,Proper - 1,Molo - 7,One-Way,0.0,Inactive,3307.32,1811.74,No
Infante St 1,Proper - 1,Proper - 2,Two-Way,728.2,Active,3299.41,1337.42,No
Gen Luna St 1,Proper - 1,Proper - 7,Two-Way,1132.21,Active,3330.81,3220.99,No
Old Iloilo - Capiz Rd (Rev),Proper - 1,mandurriao - 1,Two-Way,2395.42,Active,3412.03,8094.3,No
Infante St 2,Proper - 2,Proper - 3,Two-Way,594.97,Active,3306.79,1780.02,No
Delgado St,Proper - 2,Proper - 10,Two-Way,133.23,Active,3289.49,741.74,No
Infante St 3,Proper - 3,Proper - 4,One-Way,2468.17,Active,3325.16,2882.35,No
Baluarte - Oton Blvd,Proper - 4,Proper - 5,One-Way,2468.17,Active,3325.74,2916.78,No
Rizal St 1,Proper - 5,Proper - 3,One-Way,2955.22,Active,3336.04,3535.16,No
Rizal St 2,Proper - 5,Proper - 6,Two-Way,2468.17,Active,3354.8,4660.85,No
Rizal St 3,Proper - 6,Proper - 14,Two-Way,0.0,Inactive,3307.32,1811.74,No
Ledesma St,Proper - 6,Proper - 11,Two-Way,0.0,Inactive,3307.32,1811.74,No
Gen Luna St 2,Proper - 7,Proper - 8,Two-Way,1252.21,Active,3338.29,3669.66,No
Bonifacio Drive,Proper - 7,lapaz - 10,Two-Way,179.52,Active,3291.53,864.57,No
Gen Luna St 3,Proper - 8,Proper - 9,Two-Way,1314.44,Active,3332.52,3323.47,No
Ruperto Montinola St 1,Proper - 8,Proper - 10,Two-Way,76.45,Active,3289.09,717.9,No
Muelle Loney St 1,Proper - 9,Proper - 12,Two-Way,1923.35,Active,3433.17,9362.46,No
Quirino - Lopez Bridge,Proper - 9,lapuz - 2,Two-Way,3625.2,Active,3545.56,16106.01,No
Ruperto Montinola St 2,Proper - 10,Proper - 11,Two-Way,209.68,Active,3290.46,800.38,No
Arroyo St (Rev),Proper - 11,Proper - 12,Two-Way,1783.15,Active,3318.77,2498.6,No
JM Basa St 1,Proper - 11,Proper - 13,Two-Way,1588.7,Active,3392.87,6944.59,No
Muelle Loney St 2,Proper - 12,Proper - 18,Two-Way,3706.5,Active,3615.49,20301.91,No
JM Basa St 2,Proper - 13,Proper - 14,Two-Way,0.0,Inactive,3307.32,1811.74,No
Dela Rama St 1,Proper - 13,Proper - 17,Two-Way,1588.7,Active,3405.15,7681.71,No
General Hughes St 1,Proper - 14,Proper - 15,Two-Way,0.0,Inactive,3307.32,1811.74,No
Duran St,Proper - 15,Proper - 16,Two-Way,0.0,Inactive,3307.32,1811.74,No
General Hughes St 2,Proper - 15,Proper - 22,Two-Way,0.0,Inactive,3307.32,1811.74,No
Dela Rama St 2,Proper - 17,Proper - 20,Two-Way,0.0,Inactive,3307.32,1811.74,No
Blumentritt 1,Proper - 17,Proper - 18,Two-Way,1588.7,Active,3298.45,1279.45,No
Blumentritt 2,Proper - 17,Proper - 19,Two-Way,0.0,Inactive,3307.32,1811.74,No
Muelle Loney St 3,Proper - 18,Proper - 19,Two-Way,0.0,Inactive,3307.32,1811.74,No
Muelle Loney St 4,Proper - 19,Proper - 21,Two-Way,0.0,Inactive,3307.32,1811.74,No
Fort San Pedro Dr,Proper - 21,Proper - 22,Two-Way,0.0,Inactive,3307.32,1811.74,No
Mandurriao - Jaro Rd,mandurriao - 1,mandurriao - 2,Two-Way,1029.7,Active,3339.54,3744.69,No
Old Iloilo-Capiz Rd - Old Lopez Jaena St (Rev),mandurriao - 1,jaro - 17,Two-Way,0.0,Inactive,3307.32,1811.74,No
El 98 St (Rev),mandurriao - 1,jaro - 7,Two-Way,868.67,Active,3416.47,8360.95,No
Mandurriao - Jaro Rd - Mandurriao - Sn Miguel Rd,mandurriao - 2,mandurriao - 3,One-Way,664.6,Active,3315.2,2284.67,No
Mandurriao - Sn Miguel Rd,mandurriao - 3,mandurriao - 12,Two-Way,1659.4,CRITICAL CUT-EDGE,DISCONNECTED,Dropped 3319 vol,N/A
Mandurriao - Sn Miguel Rd - R Mapa St,mandurriao - 3,mandurriao - 4,One-Way,664.6,Active,3312.56,2126.07,No
Pakiad Rd,mandurriao - 4,mandurriao - 5,Two-Way,0.0,Inactive,3307.32,1811.74,No
